mes amis;my friends
un cours de littérature;a literature class
un frère;a brother
les gens;people
un homme;a man
un jeune homme;a youn) man
mes amies;my friends
une femme;a woman
une jeune femme;a young woman
la France;France
une semaine;a week
une sœur;a sister
l’université;the university
américain;American (masculine)
américaine;American (feminine)
beau;handsome, beautiful (masculine)
belle;handsome, beautiful (feminine)
célibataire;single
divorcé;divorced (masculine)
divorcée;divorced (feminine)
fiancé;engaged (masculine)
fiancée;engaged (feminine)
français;French (masculine)
française;French (feminine)
grand;tall, big (masculine)
grande;tall, big (feminine)
gros;fat (masculine)
grosse;fat (feminine)
jeune;young
jumeau;twin (masculine)
jumelle;twin (feminine)
laid;ugly (masculine)
laide;ugly (feminine)
marié;married (masculine)
mariée;married (feminine)
même;same
mince;thin
petit;short, small (masculine)
petite;short, small (feminine)
premier;first (masculine)
première;first (feminine)
vieux;old (masculine)
vieille;old (feminine)
C’est;He is / She is / It is / This is / That is
Ce sont;They are / These are / Those are
Ce n’est pas;He is not / She is not / It is not / This is not / That is not
Ce ne sont pas;They are not / These are not / Those are not
Comment est...?;What is ... like?
Il est;He is / It is
Elle est;She is
Ils sont;They are (masculine)
Elles sont;They are (feminine)
Il n’est pas;He is not / It is not
Elle n’est pas;She is not
Ils ne sont pas;They are not (masculine)
Elles ne sont pas;They are not (feminine)
Nous sommes;We are
pour étudier;in order to study
pour visiter;in order to visit
pour voir;in order to see
rencontrer;to meet (for the first time or by chance), to run into
Tu es;You are (informal)
à;to, at, in
alors;so, then, therefore that’s right
c’est ça comme;like, as, for
de;of, from, about
d’où;from where
non?;right?
pendant;during
son;his
sa;her
ses;its
