tes amis;your friends
le football;soccer
mon meilleur ami;my best friend
le sport;sports
le tennis;tennis
tes amies;your friends
les études;studies, going to school
ma meilleure amie;my best friend
la personnalité;personality
agréable;pleasant
amusant;fun, amusing (masculine)
amusante;fun, amusing (feminine)
antipathique;disagreeable, unpleasant
bête;stupid, dumb
désagréable;unpleasant
dynamique;active
ennuyeux;boring (masculine)
ennuyeuse;boring (feminine)
extraverti;extroverted, outgoing (masculine)
extravertie;extroverted, outgoing (feminine)
gentil;nice (masculine)
gentille;nice (feminine)
idéaliste;idealistic
intellectuel;intellectual (masculine)
intellectuelle;intellectual (feminine)
intelligent;intelligent (masculine)
intelligente;intelligent (feminine)
intéressant;interesting (masculine)
intéressante;interesting (feminine)
marrant;funny (masculine)
marrante;funny (feminine)
méchant;mean (masculine)
méchante;mean (feminine)
nouveau;new
nouvelle;new
optimiste;optimistic
paresseux;lazy
paresseuse;lazy
pessimiste;pessimistic
réaliste;realistic
sportif;athletic
sportive;athletic
sympathique;nice
sympa;nice
timide;timid, shy
être;to be
je suis;I am
tu es;you are
il est;he is, it is
elle est;she is, it is
nous sommes;we are
vous êtes;you are
ils sont;they are (masculine)
elles sont;they are (feminine)
j’aime;I like
je n’aime pas;I don’t like
tu aimes;you like
assez;rather
aussi ... que;as ... as
Ce n’est pas mon truc.;That’s not my thing.
Est-ce que;(particle used in questions)
moins ... que;less ... than
ne ... pas;not
ne ... pas du tout;not at all
n’est-ce pas?;right?
pas tellement;not so much
plus ... que;more ... than
plutôt;rather
un peu;a little
